"","body_ratio","head_ratio","snout_ratio","eye_ratio","peduncle_ratio","anal_fin_ratio","pelvic_fin_ratio","eye_height","snout_angle","peduncle_depth_factor","relative_body_length","species"
"Amblyglyphidodon-batunaorum_112480368",0.554197746166029,0.172042067798551,0.331817050727591,0.647798308954003,0.0218317379456115,0.19508528359408,0.0552508234531243,0.715870175221927,1.31819888466097,12.0940908247928,0.541511479530744,"Amblyglyphidodon_batunaorum"
"Amblyglyphidodon-curacao_121555845",0.512830821890532,0.191895529057832,0.384242415884616,0.549153291853118,0.023849141112312,0.295865515501211,0.0624029105861991,0.606546474725695,1.24998519316323,12.0188988104259,0.556857320378196,"Amblyglyphidodon_curacao"
"Amblyglyphidodon-flavilatus_118340720",0.537022641651426,0.185561311839451,0.37800198866369,0.594754040782187,0.0196687343293147,0.305361823946917,0.106968674556399,0.560952379381057,1.29168303948462,15.1828455769004,0.543863108591346,"Amblyglyphidodon_flavilatus"
"Amblyglyphidodon-flavopurpureus_2656743",0.517044681961371,0.203522611328764,0.433532477259218,0.4626084271485,0.0173947888882479,0.28353700877985,0.0395585640260935,0.574280287164303,1.27350917922451,14.985024382978,0.552069134590635,"Amblyglyphidodon_flavopurpureus"
"Amblyglyphidodon-indicus_13342762",0.614590772417281,0.194753191469804,0.388188781201666,0.582836877506583,0.0193001333403208,0.221272736136243,0.0862953094704108,0.612743300683316,1.23785832171909,13.7023157611508,0.536548478349421,"Amblyglyphidodon_indicus"
"Amblyglyphidodon-leucogaster_37318988",0.549062046058122,0.201400865048821,0.433067205689379,0.532422334551598,0.0201928581760372,0.365858995503295,0.0542158188402934,0.563144560523869,1.19564187451979,13.5149957542049,0.560847964159603,"Amblyglyphidodon_leucogaster"
"Amblyglyphidodon-melanopterus_2",0.525351862286819,0.177615108521824,0.49800519933817,0.518016189098222,0.0243321726535122,0.265144695775111,0.110564647192255,0.549990050444257,1.22045393796905,11.1133833802201,0.555587260170738,"Amblyglyphidodon_melanopterus"
"Amblyglyphidodon-orbicularis_1",0.524701161240608,0.209410996031403,0.413829968446919,0.510742008168079,0.0265361768643364,0.286514528706549,0.0726466476029957,0.558321557469209,1.25627169463241,9.05839771102996,0.569821904531701,"Amblyglyphidodon_orbicularis"
"Amblyglyphidodon-silolona_2",0.543027442584381,0.219500313121473,0.422396845130163,0.512653376465767,0.016940676537903,0.296254194635839,0.0391581197669358,0.561801440071065,1.15458177719063,14.3937327408139,0.552262651628002,"Amblyglyphidodon_silolona"
"Amblyglyphidodon-ternatensis_2",0.571981707835635,0.192723658696638,0.379401776842581,0.576446391147208,0.0189312100429497,0.263019979225086,0.0443252554341389,0.70545271469729,1.31130641493993,15.3550818601465,0.541249638515708,"Amblyglyphidodon_ternatensis"
